title,link,content
The British Conquest of India (1798-1806) III. Colonial Reorganization,https://www.youtube.com/watch?v=p8aP3nbLkRA,英国征服印度 (1798-1806) III：殖民重组：系列课，行政管理作为战略延续的手段。
The British Conquest of India (1798-1806) IV. The 2nd Anglo-Maratha War: Shinde & Bhonsle,https://www.youtube.com/watch?v=vxKWmlD1-j0,英国征服印度 (1798-1806) IV：第二次英马战争（辛迪亚与蓬斯莱）：系列课，对阵印度最强军事集团马拉塔联盟。
The British Conquest of India (1798-1806) V. The 2nd Anglo-Maratha War: Holkar,https://www.youtube.com/watch?v=h3c1I-jWuxw,英国征服印度 (1798-1806) V：第二次英马战争（霍尔卡）：系列课，征服印度的收官阶段。
The British Conquest of India (1798-1806) [Parts 1-5 Complete],https://www.youtube.com/watch?v=TFXsHDpheJQ,英国征服印度 (1798-1806) [1-5全集]：复盘总结：完整串联英国在南亚的扩张路径。
The Naval Strategy of Alfred Thayer Mahan,https://www.youtube.com/watch?v=nEe8JX0YKBE,阿尔弗雷德·赛耶·马汉的海权战略：现代地缘理论基础：开启海权时代，影响美国及全球海军建设。
Sir Julian Corbett Limited War and a Strategy for Maritime States,https://www.youtube.com/watch?v=be7IYWAvrYE,朱利安·科比特、有限战争与海洋国家战略：海权进阶：比马汉更细腻的理论，强调海军与陆军的配合。
Strategy of Protest and Revolution 2: The French Revolution 1789,https://www.youtube.com/watch?v=wyHp9lkzWKw,抗争与革命战略 2：1789年法国大革命：现代革命典范：将之前的理论应用到第一个现代大众革命案例。
How Patriots Took Over the Thirteen Colonies | The American Revolution (1763-1775),https://www.youtube.com/watch?v=Gg2GmsVzhTA,爱国者如何接管十三个殖民地 | 美国革命 (1763-1775)：独立与动员：分析北美民众如何摆脱帝国母体。
Union Strategy During the American Civil War 1861-1865,https://www.youtube.com/watch?v=S8NDbjf2t6s,美国内战期间的联邦战略 (1861-1865)：全面战争先声：工业化时代的动员与损耗战略（蟒蛇计划）。
The Russian Bolshevik Revolution (Lenin's Strategy) | Strategy of Protest and Revolution 4.0,https://www.youtube.com/watch?v=11GEbYbRTAQ,俄国布尔什维克革命 (列宁战略) | 抗争与革命战略 4.0：现代组织革命：学习职业革命家如何利用组织力量夺权。
The Russian Bolshevik Revolution (Mar-Nov 1917) | Strategy of Protest and Revolution 4.5,https://www.youtube.com/watch?v=S0fOT3EATag,俄国布尔什维克革命 (1917年3月-11月) | 抗争与革命战略 4.5：系列课，具体的时间线与权力博弈。
The Russian Bolshevik Revolution (1917) [Parts 1-2],https://www.youtube.com/watch?v=VnGRA9F-Yrw,俄国布尔什维克革命 (1917) [1-2部分]：全景回顾：对苏俄建立过程的系统梳理。
The Chinese Communist Revolution I. Chinese Nationalism & Soviet Communism,https://www.youtube.com/watch?v=_8tSg5pxJjo,中国共产主义革命 I：中国民族主义与苏联共产主义：现代中国史开端：学习外来思想与本土主义的结合。
The Chinese Communist Revolution II. Early Attempts & The 1st United Front (1921-27),https://www.youtube.com/watch?v=bfIhWfg1gvs,中国共产主义革命 II：早期尝试与第一次统一战线：系列课，初期的挫折与合作。
The Chinese Communist Revolution III. Insurrection & Guerrillaism Jinggangshan and Futian (1927-31),https://www.youtube.com/watch?v=_5UGHTzt6qY,中国共产主义革命 III：暴动、游击主义、井冈山与富田：系列课，探索农村包围城市的战略转折。
The Chinese Communist Revolution IV. Jiangxi Long March Shaanxi (1931-37),https://www.youtube.com/watch?v=V-8evOTbhBc,中国共产主义革命 IV：江西、长征、陕西：系列课，极端环境下的生存与战略转移。
The Chinese Communist Revolution V. The 2nd Sino-Japanese War & Rectification (1937-45),https://www.youtube.com/watch?v=jYKafLyY6Fc,中国共产主义革命 V：抗日战争与整风运动：系列课，在多方博弈中壮大。
The Chinese Communist Revolution (1921-1945) [Parts 1-6],https://www.youtube.com/watch?v=18pjIiBW4-s&t=4619s,中国共产主义革命 (1921-1945) [1-6部分]：阶段总结：完整复习中国革命的前半程。
The Chinese Communist Revolution V. The 2nd Sino-Japanese War & Rectification (1937-45),https://www.youtube.com/watch?v=jYKafLyY6Fc,中国共产主义革命 V：抗日战争与整风运动（同名重复项）：（注：此项按要求保留，可作为复习补充）
The Grand Strategy of Japan 1919 - 1941,https://www.youtube.com/watch?v=qE_iNUXhrfw,日本的大战略 (1919-1941)：东亚变局：理解二战亚洲战场策源地的战略考量与迷失。
US Strategy in Latin America 1939 - 1949,https://www.youtube.com/watch?v=o6jm_pPOw9Q&pp=0gcJCcUKAYcqIYzv,美国在拉美的战略 (1939-1949)：势力范围经营：二战前后美国对“后院”的控制。
Examining Mackinder's Heartland Thesis,https://www.youtube.com/watch?v=ZL8TLiOcF6c,考察麦金德的心脏地带理论：陆权核心理论：现代地缘政治的开山之作，理解中俄影响力的地缘基础。
The Rimland Thesis & US Containment: Spykman's Rimland Thesis,https://www.youtube.com/watch?v=I1_zBG3M68w,边缘地带理论与美国遏制：斯派克曼的边缘地带理论：遏制战略源头：冷战至今美国对欧亚大陆围堵的理论核心。
The Strategy of Eurasianism,https://www.youtube.com/watch?v=5Z98moTOa7Y,欧亚主义战略：现代竞争：理解俄罗斯与欧亚板块整合的现代视角。
The Strategy of Geoeconomics,https://www.youtube.com/watch?v=lswiu1K1Vnk,地缘经济战略：范式转移：从军事对抗转向资源、贸易与金融权力的竞争。
Grand Strategy Book Recommendations,https://www.youtube.com/watch?v=oKsfaMhuEZM,大战略书籍推荐：进阶阅读：学完所有案例后，为你后续的自我提升指明方向。
为什么事物存在？为进化打造舞台。,https://www.youtube.com/watch?v=oDvzbBRiNlA,\
生命如何呈指数增长,https://www.youtube.com/watch?v=mMc_z1r96gs,\
突变和第一代复制者,https://www.youtube.com/watch?v=UhSStR-FpQc,\
模拟竞争和物流增长,https://www.youtube.com/watch?v=uRTtlpD_U54,\
模拟自然选择,https://www.youtube.com/watch?v=0ZGbIKd0XrM,\
"自私基因",https://www.youtube.com/watch?v=2mTVtToioLg,\
模拟供求关系,https://www.youtube.com/watch?v=PNtKXWNKGN8,\
模拟：侵略行为的演变,https://www.youtube.com/watch?v=YNMkADpvO4w,\
模拟觅食决策,https://www.youtube.com/watch?v=nsVD8VPh96w,\
流行病感染模型模拟,https://www.youtube.com/watch?v=7OLpKqTriio,\
模拟替代投票系统,https://www.youtube.com/watch?v=yhO6jfHPFQU,\
我如何欺骗了自己,https://www.youtube.com/watch?v=t9N9S4loyu8,\
模拟绿胡子利他主义,https://www.youtube.com/watch?v=goePYJ74Ydg,\
模拟家庭牺牲的演变,https://www.youtube.com/watch?v=iLX_r_WPrIw,\
欺骗的抛硬币者：来自Primer的游戏,https://www.youtube.com/watch?v=QC91Bf8hQVo,\
如何通过数学来抓住作弊者,https://www.youtube.com/watch?v=XTcP4oo4JI4,\
根据计算，未来可能存在多少人？,https://www.youtube.com/watch?v=r6sa_fWQB_4,\
预测结果的一个秘密武器：二项分布,https://www.youtube.com/watch?v=6YzrVUVO9M0&t=89s,\
模拟团队协作,https://www.youtube.com/watch?v=TZfh8hpJIxo&t=13s,\
模拟循环博弈,https://www.youtube.com/watch?v=tCoEYFbDVoI,\
模拟生物衰老,https://www.youtube.com/watch?v=1_JbJTeLZJs,\
模拟神经单元,https://www.youtube.com/watch?v=GkiITbgu0V0&pp=0gcJCcUKAYcqIYzv,\

